nom,libellecourt,lon,lat,codeinsee
Grésy-sur-Isère,TGG,6.2588584,45.594432,73129
Senozan,SOZ,4.8710626,46.3921451,71513
Chaville - Vélizy,CHV,2.1845267,48.7998005,78686
Sennecey-le-Grand,SRD,4.874316,46.6406445,71512
Sierck-les-Bains,SIK,6.350327,49.443655,57650
Boën-sur-Lignon,BOE,4.0051544,45.7413612,42019
Mionnay,MIO,4.919752,45.8966784,01248
Cormeilles-en-Parisis,CPA,2.19358,48.96864,95176
Cognac,COG,-0.326112,45.684682,16102
Cessieu,CIU,5.3761179,45.5611596,38064
Beynost,BNO,5.006969,45.833915,01043
Castres,CTR,2.231223,43.599131,81065
Cergy le Haut,CJV,2.0118725,49.0484932,95127
Clamart,CMA,2.2733273,48.813844,92023
Carhaix-Plouguer,CRX,-3.5622173,48.2780022,29024
Saint-Quentin-Fallavier,SQF,5.099896,45.638109,38449
Capvern,CPN,0.3296393,43.1033454,65127
Sevran Beaudottes,BDE,2.52474,48.94743,93071
Pierre-Bénite,PRB,4.8245059,45.7066772,69152
Coarraze - Nay,CZN,-0.2416429,43.1818351,64191
Contrexéville,CXC,5.890633,48.1796129,88114
Suresnes Mont Valérien,SMV,2.22131,48.87155,92073
Vernaison,VNI,4.8132908,45.6456478,69260
Cousance,CSJ,5.3868216,46.5353569,39173
Courtalain - Saint-Pellerin,CWP,1.1270043,48.0735988,28356
Amplepuis,AMP,4.326844,45.970982,69006
Velars-sur-Ouche,VLA,4.9274603,47.3265197,21661
Écommoy,ECO,0.2691867,47.8246286,72124
Les Deux Jumeaux,HPZ,-1.7643532,43.3699568,64260
Escalquens,EQA,1.5422774,43.5170958,31169
Ambérieu-en-Bugey,AMB,5.342388,45.954008,01004
Ossès - Saint-Martin-d'Arrossa,OSS,-1.3048922,43.2352119,64490
Dormans,DOR,3.641709,49.0791611,51217
Blanzy,BYK,4.3913585,46.694064,71040
Halsou - Larressore,HLS,-1.4279003,43.3781301,64255
Ustaritz Jatxou,USZ,-1.4489654,43.4048083,64547
Épinay-sur-Orge,EYO,2.33182,48.66952,91216
Ermont Halte,ERM,2.26323,48.9898,95219
Héricy,HER,2.7605339,48.4424848,77226
Flers,FLS,-0.573216,48.744785,61169
Ogeu-les-Bains,OLB,-0.5076467,43.153939,64421
Peyrilhac - Saint-Jouvent,PYJ,1.1699844,45.9596182,87118
Montaut Bétharram,MHZ,-0.1982813,43.1269731,64400
Saint-Martin-d'Oney,XMN,-0.6516933,43.9301115,40274
Bidos,EON,-0.6069,43.17892,64126
Cugand,KUG,-1.253301,47.0582602,85076
Simandre-sur-Suran,SUS,5.4210929,46.2202097,01408
Les Trillers,TIS,2.6001018,46.4147461,03301
Roquesérière - Buzet,RQE,1.6198753,43.7512472,31094
Gièvres,GSN,1.6678267,47.2787925,41097
Laguépie,LPB,1.9692195,44.1455256,82088
Bétaille,BIK,1.7344108,44.9424281,46028
Saint-Léon-sur-l'Isle,XLI,0.4923106,45.1233004,24442
Cintegabelle,CBT,1.5204268,43.3054202,31145
Gourdon,GOV,1.389237,44.7419445,46127
Reuilly,REL,2.0474783,47.0853677,36171
Cornil,CIL,1.6978482,45.2151758,19061
L'Aiguille,AGF,1.2049024,45.7783702,87021
Nice Saint-Augustin,NIA,7.216199,43.670728,06088
Hesdin,HSD,2.0351881,50.378286,62447
La Gorp,GOP,-0.4963844,44.9288345,33003
Arbanats,ABH,-0.3954517,44.6743555,33007
Joinville,JQI,5.143503,48.4442977,52250
